"Source","Target","Label","Weight","Type","Inscription","Object Type","Inscription Type","Likely Site","Date","Date Span"
"2223","2240","445","1","Directed","Statue Base for Thrasyllos of Kholleidai","Base","Dedication","","135","10"
"2256","2253","458","1","Directed","Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate","Base","Dedication","","145","10"
"2254","2253","458","1","Directed","Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate","Base","Dedication","","145","10"
"2258","2260","459","1","Directed","Statue Base for Nummia Kleo, Hearth-Initiate","Base","Dedication","","145","10"
"2257","2260","459","1","Directed","Statue Base for Nummia Kleo, Hearth-Initiate","Base","Dedication","","145","10"
"2332","2264","495","1","Directed","Statue Base for M. Aurelius","Base","Dedication","Before the Telestrion","173.5","3"
"2301","2264","482","1","Directed","Altar(?) for the Health of M. Aurelius and L. Verus","Base","Dedication","","165","8"
"2255","2271","464","1","Directed","Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides","Base","Dedication","","150","50"
"2254","2271","464","1","Directed","Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides","Base","Dedication","","150","50"
"2275","2274","466","1","Directed","Statue Base for D. Iun. Peiraieus, Hierophant","Column/Herm","Dedication","","150","50"
"2283","2282","471","1","Directed","Statue Base for an Unknown Emperor","Base","Dedication","","175","50"
"2291","2290","474","1","Directed","Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate","Base","Dedication","South Wall","155","10"
"2226","2293","476","1","Directed","Statue Base for Regilla, Wife of Herodes Attikos","Base","Dedication","Before the Telestrion","160","10"
"2298","2299","481","1","Directed","Statue Base for Fl. Xenion Marathonsios, Hearth-Initiate, and Others","Base","Dedication","","165","10"
"2301","2300","482","1","Directed","Altar(?) for the Health of M. Aurelius and L. Verus","Base","Dedication","","165","8"
"2311","2310","485","1","Directed","Statue Base for M. Aur. Miltiades, Son of Agathokles of Marathon, Hearth-Initiate","Base","Dedication","","165","10"
"2316","2318","488","1","Directed","Statue Base for T. Fl. Menandros Paianieus","Stele","Dedication","South Wall","166","10"
"2331","2328","493","1","Directed","Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades","Building or Monument","Dedication","","170","10"
"2327","2328","493","1","Directed","Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades","Building or Monument","Dedication","","170","10"
"2402","2393","523","1","Directed","Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore","Other/Fragment","Dedication","Before the Telestrion","187.5","25"
"2404","2405","524","1","Directed","Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania","Base","Dedication","","187.5","25"
"2436","2434","587","1","Directed","Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate","Column/Herm","Dedication","","250.5","99"
"2454","2452","621","1","Directed","P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate","Base","Dedication","","200","50"
"2453","2452","621","1","Directed","P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate","Base","Dedication","","200","50"
"2470","2468","628","1","Directed","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","","313","24"
"2469","2468","628","1","Directed","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","","313","24"
"2471","2472","629","1","Directed","Statue Base for an Unknown Sister of Likinios Kallistomakhos","Base","Dedication","Before the Telestrion","205","10"
"2485","2482","635","1","Directed","Statue Base for Aur. Magna, Hearth-Initiate","Base","Dedication","","217","10"
"2484","2482","635","1","Directed","Statue Base for Aur. Magna, Hearth-Initiate","Base","Dedication","","217","10"
